Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Ukraine,UKR,1996,Poverty gap at $3.00 a day (2021 PPP) (%),SI.POV.GAPS,3.9
Ukraine,UKR,1995,Poverty gap at $3.00 a day (2021 PPP) (%),SI.POV.GAPS,3.6
Ukraine,UKR,1993,Poverty gap at $3.00 a day (2021 PPP) (%),SI.POV.GAPS,1.1
Ukraine,UKR,1992,Poverty gap at $3.00 a day (2021 PPP) (%),SI.POV.GAPS,2
Ukraine,UKR,2020,Gini index,SI.POV.GINI,25.6
Ukraine,UKR,2019,Gini index,SI.POV.GINI,26.6
Ukraine,UKR,2018,Gini index,SI.POV.GINI,26.1
Ukraine,UKR,2017,Gini index,SI.POV.GINI,26
Ukraine,UKR,2016,Gini index,SI.POV.GINI,25
Ukraine,UKR,2015,Gini index,SI.POV.GINI,25.5
Ukraine,UKR,2014,Gini index,SI.POV.GINI,24
Ukraine,UKR,2013,Gini index,SI.POV.GINI,24.6
Ukraine,UKR,2012,Gini index,SI.POV.GINI,24.7
Ukraine,UKR,2011,Gini index,SI.POV.GINI,24.6
Ukraine,UKR,2010,Gini index,SI.POV.GINI,24.8
Ukraine,UKR,2009,Gini index,SI.POV.GINI,25.3
Ukraine,UKR,2008,Gini index,SI.POV.GINI,26.6
Ukraine,UKR,2007,Gini index,SI.POV.GINI,27
Ukraine,UKR,2006,Gini index,SI.POV.GINI,29.8
Ukraine,UKR,2005,Gini index,SI.POV.GINI,29
Ukraine,UKR,2004,Gini index,SI.POV.GINI,28.9
Ukraine,UKR,2003,Gini index,SI.POV.GINI,28.7
Ukraine,UKR,2002,Gini index,SI.POV.GINI,29
Ukraine,UKR,1999,Gini index,SI.POV.GINI,28.9
Ukraine,UKR,1996,Gini index,SI.POV.GINI,35.2
Ukraine,UKR,1995,Gini index,SI.POV.GINI,39.2
Ukraine,UKR,1993,Gini index,SI.POV.GINI,28.9
Ukraine,UKR,1992,Gini index,SI.POV.GINI,29.7
Ukraine,UKR,2020,Poverty headcount ratio at $4.20 a day (2021 PPP) (% of population),SI.POV.LMIC,0.2
Ukraine,UKR,2019,Poverty headcount ratio at $4.20 a day (2021 PPP) (% of population),SI.POV.LMIC,0.3
Ukraine,UKR,2018,Poverty headcount ratio at $4.20 a day (2021 PPP) (% of population),SI.POV.LMIC,0.6
Ukraine,UKR,2017,Poverty headcount ratio at $4.20 a day (2021 PPP) (% of population),SI.POV.LMIC,0.7
Ukraine,UKR,2016,Poverty headcount ratio at $4.20 a day (2021 PPP) (% of population),SI.POV.LMIC,1.1
Ukraine,UKR,2015,Poverty headcount ratio at $4.20 a day (2021 PPP) (% of population),SI.POV.LMIC,1.2
Ukraine,UKR,2014,Poverty headcount ratio at $4.20 a day (2021 PPP) (% of population),SI.POV.LMIC,0.3
Ukraine,UKR,2013,Poverty headcount ratio at $4.20 a day (2021 PPP) (% of population),SI.POV.LMIC,0.3
Ukraine,UKR,2012,Poverty headcount ratio at $4.20 a day (2021 PPP) (% of population),SI.POV.LMIC,0.5
Ukraine,UKR,2011,Poverty headcount ratio at $4.20 a day (2021 PPP) (% of population),SI.POV.LMIC,0.6
Ukraine,UKR,2010,Poverty headcount ratio at $4.20 a day (2021 PPP) (% of population),SI.POV.LMIC,0.7
Ukraine,UKR,2009,Poverty headcount ratio at $4.20 a day (2021 PPP) (% of population),SI.POV.LMIC,1.4
Ukraine,UKR,2008,Poverty headcount ratio at $4.20 a day (2021 PPP) (% of population),SI.POV.LMIC,1.3
Ukraine,UKR,2007,Poverty headcount ratio at $4.20 a day (2021 PPP) (% of population),SI.POV.LMIC,2.8
Ukraine,UKR,2006,Poverty headcount ratio at $4.20 a day (2021 PPP) (% of population),SI.POV.LMIC,3.7
Ukraine,UKR,2005,Poverty headcount ratio at $4.20 a day (2021 PPP) (% of population),SI.POV.LMIC,4.9
Ukraine,UKR,2004,Poverty headcount ratio at $4.20 a day (2021 PPP) (% of population),SI.POV.LMIC,9.7
Ukraine,UKR,2003,Poverty headcount ratio at $4.20 a day (2021 PPP) (% of population),SI.POV.LMIC,12.9
Ukraine,UKR,2002,Poverty headcount ratio at $4.20 a day (2021 PPP) (% of population),SI.POV.LMIC,20
Ukraine,UKR,1999,Poverty headcount ratio at $4.20 a day (2021 PPP) (% of population),SI.POV.LMIC,49.3
Ukraine,UKR,1996,Poverty headcount ratio at $4.20 a day (2021 PPP) (% of population),SI.POV.LMIC,31.2
Ukraine,UKR,1995,Poverty headcount ratio at $4.20 a day (2021 PPP) (% of population),SI.POV.LMIC,27.5
Ukraine,UKR,1993,Poverty headcount ratio at $4.20 a day (2021 PPP) (% of population),SI.POV.LMIC,16.5
Ukraine,UKR,1992,Poverty headcount ratio at $4.20 a day (2021 PPP) (% of population),SI.POV.LMIC,19
Ukraine,UKR,2020,Poverty gap at $4.20 a day (2021 PPP) (%),SI.POV.LMIC.GP,0
Ukraine,UKR,2019,Poverty gap at $4.20 a day (2021 PPP) (%),SI.POV.LMIC.GP,0.1
Ukraine,UKR,2018,Poverty gap at $4.20 a day (2021 PPP) (%),SI.POV.LMIC.GP,0.1
Ukraine,UKR,2017,Poverty gap at $4.20 a day (2021 PPP) (%),SI.POV.LMIC.GP,0.1
Ukraine,UKR,2016,Poverty gap at $4.20 a day (2021 PPP) (%),SI.POV.LMIC.GP,0.2
Ukraine,UKR,2015,Poverty gap at $4.20 a day (2021 PPP) (%),SI.POV.LMIC.GP,0.2
Ukraine,UKR,2014,Poverty gap at $4.20 a day (2021 PPP) (%),SI.POV.LMIC.GP,0.1
Ukraine,UKR,2013,Poverty gap at $4.20 a day (2021 PPP) (%),SI.POV.LMIC.GP,0.1
Ukraine,UKR,2012,Poverty gap at $4.20 a day (2021 PPP) (%),SI.POV.LMIC.GP,0.1
Ukraine,UKR,2011,Poverty gap at $4.20 a day (2021 PPP) (%),SI.POV.LMIC.GP,0.1
Ukraine,UKR,2010,Poverty gap at $4.20 a day (2021 PPP) (%),SI.POV.LMIC.GP,0.1
Ukraine,UKR,2009,Poverty gap at $4.20 a day (2021 PPP) (%),SI.POV.LMIC.GP,0.2
Ukraine,UKR,2008,Poverty gap at $4.20 a day (2021 PPP) (%),SI.POV.LMIC.GP,0.2
